Company/Organization;SUM;Ericsson;Ericsson;Ericsson;Ericsson;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Fraunhofer IIS;Fraunhofer IIS;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Klagenfurt University;Nokia;Nokia;Nokia;panasonic;KDDI;Ericsson;Ericsson;Ericsson;Ericsson;Nokia;Nokia;Nokia;Nokia;Nokia;Nokia;Telecom ParisTech;Telecom ParisTech
track fragment decode time; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;
sync table; ;x;x;x;x;x;x;x;x;x;x;x;x;x;;;;;x;;x;x;x;x;x;x;;;;;x;;;;;x;;x;x;;x;;;;;;;x;x
pad bits; ;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
degr. Priority;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sample groups; ;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;
pre-roll group; ;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rate share group; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;
Alt. startup properties and sample group; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
RAP sample group; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
Temporal level sample group; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
ipmp control;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sub-sample information; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;
Protected streams (basic); ;;;;;;;x;;;;;;;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
